object_id,utility_id,company_name,utility_type,electric_type,service_class,shape_area,shape_length
346,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,505147172.4772094,110802.24925708635
347,0.0,Mayfield Electric & Water Systems,0,Municipal,Municipal,265112522.78349593,90675.71143144944
348,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,318716658.7909452,150284.8587003768
349,0.0,Russellville Electric Plant Board,0,Municipal,Municipal,311230242.19115233,76857.06476830061
350,0.0,Benton Electric & Gas Systems,0,Municipal,Municipal,86157305.80239797,90280.95453760629
351,0.0,Hopkinsville Electric System,0,Municipal,Municipal,375168732.0018352,138377.16711176583
352,0.0,Barbourville,0,Municipal,Municipal,354787325.64964664,155609.11217576955
353,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2113448.3090123055,6227.244409024749
354,0.0,Bardwell City Utilities,0,Municipal,Municipal,18344308.266208023,19144.65088224085
355,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,418555.1639057755,2529.247684709085
356,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,6582793.9144413415,13647.853609265361
357,0.0,Corbin,0,Municipal,Municipal,130656911.46663159,70466.17410061712
358,0.0,Gibson Electric Membership Corp.,0,TVA,TVA Gibson Electric Membership Corp.,13540110461.655909,1135328.8034243847
359,0.0,Tri-County REMC,0,TVA,TVA Tri-County REMC,31719379331.899715,1356237.5086117445
360,0.0,Benham City Utilities,0,Municipal,Municipal,45716803.50776757,23968.9148845555
361,0.0,Bowling Green Municipal,0,Municipal,Municipal,725642316.3816684,216847.92553613783
362,0.0,Glasgow Electric Plant Board,0,Municipal,Municipal,270736848.89225245,109794.03827557623
363,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,20302907013.24551,1175886.2552873222
364,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,173795755.07382375,102011.72730840341
365,0.0,West Kentucky RECC,0,TVA,TVA West Kentucky RECC,35195933801.07583,1514648.4068258328
366,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,13743869.845512344,17119.947990136654
367,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,892788.0423528854,4891.81426915614
368,1300.0,"Cumberland Valley Electric, Inc.",200,RECC,"RECC Cumberland Valley Electric, Inc.",21227672254.118065,1657808.5783652097
369,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,15208450.85608099,17316.99748043224
370,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1306764.2075141282,5122.3635391860025
371,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,422309983.4302933,283581.6840936248
372,2400.0,Jackson Purchase Energy Corporation,200,RECC,RECC Jackson Purchase Energy Corporation,346169315.2277003,79020.95422859481
373,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,7419111.344384603,17337.326902432447
374,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2360754.2875502566,6031.158515465899
375,1500.0,Farmers R.E.C.C.,200,RECC,RECC Farmers R.E.C.C.,10173244.889759853,11739.156266691018
376,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,471688.50056517613,2581.6676814456437
377,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,103657593.04705386,55436.671422383166
378,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,836046.11665183,4803.183296902883
379,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,188237261.62956718,105877.54493705578
380,2300.0,Jackson Energy Cooperative,200,Multi-Service A,Multi-Service A Jackson Energy Cooperative,25974553.271030854,22898.141785212858
381,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,22125161.187945556,28502.64718998331
382,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2072956.7132648414,5850.605593667745
383,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,736055.4527414034,3787.735298629333
384,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,351062.49710801453,2804.97058670684
385,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,281321.959421138,2089.973393144728
386,2300.0,Jackson Energy Cooperative,200,Multi-Service A,Multi-Service A Jackson Energy Cooperative,152846583.6659456,79400.04774703864
387,1300.0,"Cumberland Valley Electric, Inc.",200,RECC,"RECC Cumberland Valley Electric, Inc.",7406913363.450237,801912.3105774608
388,0.0,Paducah Power System,0,Municipal,Municipal,1321950056.7798343,367033.392250708
389,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1058102.8487885348,4065.2576702676174
390,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,3009322.46452203,7065.579137234205
391,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,744364.5001955305,3415.183661796803
392,0.0,Princeton Electric Plant Board,0,Municipal,Municipal,983337852.4082646,156373.60149212915
393,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,32259.862307917163,674.2388238148413
394,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,4737743.047931751,11883.75003966556
395,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,47334.02502036477,829.4990341239577
396,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1357265.5107763282,8087.118808976706
397,2300.0,Jackson Energy Cooperative,200,RECC,RECC Jackson Energy Cooperative,7460022.824681113,10890.616023502607
398,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,42837772.99880781,29258.06128857442
399,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2254640.4570051325,6257.525432466905
400,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,5890231.268897857,10071.657415773881
401,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,65844414.649543695,56688.63771563974
402,2300.0,Jackson Energy Cooperative,200,RECC,RECC Jackson Energy Cooperative,2347700.044962553,6407.127919770981
